study_id,species,strain,sex,drug,drug_delivery_mode,drug_delivery_location,route_of_delivery,dose,unit,number_of_doses,time_of_administration,blinded_induction_of_ischaemia,blinded_assessment_of_outcome,random_allocation,sample_size_calculation,use_of_comorbid_animals,animal_welfare_compliance,statement_of_potential_coi,method_of_mcao,type_of_ischaemia,duration_of_ischaemia,anaesthetic,outcome_measure,outcome_measure_type,time_of_assessment,ESi,SEi
McColl 2007b,Mouse,C57BL/6J,Unknown,IL-1RA,Protein,Peripheral,IPeritoneal,300,mg/kg,Multiple,-30,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Intraluminal filament/suture,Temporary,30,Halothane,NeurobehaviouralScore,Motor/sensory,24,25,19.13594847
Xia 2014a,Rat,Wistar,Male,IL-1RA,Protein,Peripheral,IVenous,5,mg/kg,Single,180,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Intraluminal filament/suture,Temporary,120,Unknown,NeurobehaviouralScore,Motor/sensory,24,12.01671891,5.936419072
Xia 2014b,Rat,Wistar,Male,IL-1RA,Protein,Peripheral,IVenous,10,mg/kg,Single,180,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Intraluminal filament/suture,Temporary,120,Unknown,NeurobehaviouralScore,Motor/sensory,24,22.3615465,8.134781138
Xia 2014c,Rat,Wistar,Male,IL-1RA,Protein,Peripheral,IVenous,20,mg/kg,Single,180,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Intraluminal filament/suture,Temporary,120,Unknown,NeurobehaviouralScore,Motor/sensory,24,45.97701149,6.088063411
Xia 2014d,Rat,Wistar,Male,IL-1RA,Protein,Peripheral,IVenous,5,mg/kg,Single,360,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Intraluminal filament/suture,Temporary,120,Unknown,NeurobehaviouralScore,Motor/sensory,24,19.57446809,8.255209475
Xia 2014e,Rat,Wistar,Male,IL-1RA,Protein,Peripheral,IVenous,10,mg/kg,Single,360,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Intraluminal filament/suture,Temporary,120,Unknown,NeurobehaviouralScore,Motor/sensory,24,31.80851064,8.017070967
Xia 2014f,Rat,Wistar,Male,IL-1RA,Protein,Peripheral,IVenous,20,mg/kg,Single,360,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Intraluminal filament/suture,Temporary,120,Unknown,NeurobehaviouralScore,Motor/sensory,24,40.42553191,9.983122924
Xia 2014g,Rat,Wistar,Male,IL-1RA,Protein,Peripheral,IVenous,5,mg/kg,Single,720,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Intraluminal filament/suture,Temporary,120,Unknown,NeurobehaviouralScore,Motor/sensory,24,22.21018418,13.47310346
Xia 2014h,Rat,Wistar,Male,IL-1RA,Protein,Peripheral,IVenous,10,mg/kg,Single,720,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Intraluminal filament/suture,Temporary,120,Unknown,NeurobehaviouralScore,Motor/sensory,24,19.50162514,9.09185449
Xia 2014i,Rat,Wistar,Male,IL-1RA,Protein,Peripheral,IVenous,20,mg/kg,Single,720,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Intraluminal filament/suture,Temporary,120,Unknown,NeurobehaviouralScore,Motor/sensory,24,24.05200433,7.662800287
Pradillo 2016a,Rat,Unknown,Male,IL-1RA,Protein,Peripheral,SubCut,50,mg/kg,Multiple,270,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Ligation,Temporary,90,Isoflurane,NeurobehaviouralScore,Motor/sensory,168,60.42274715,24.37512029
Pradillo 2016b,Rat,Unknown,Male,IL-1RA,Protein,Peripheral,SubCut,25,mg/kg,Multiple,270,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Ligation,Temporary,90,Isoflurane,NeurobehaviouralScore,Motor/sensory,168,38.59078079,15.59585454
Pradillo 2016c,Rat,Wistar,Male,IL-1RA,Protein,Peripheral,SubCut,100,mg/kg,Multiple,270,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Ligation,Temporary,70,Isoflurane,NeurobehaviouralScore,Motor/sensory,672,61.11816789,101.5093767
Denes 2014a,Mouse,C57BL/6J,Male,IL-1RA,Protein,Peripheral,IPeritoneal,100,mg/kg,Single,90,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Intraluminal filament/suture,Temporary,30,Isoflurane,NeurobehaviouralScore,Motor/sensory,24,12.28070175,25.8405288
Denes 2014b,Mouse,C57BL/6J,Male,IL-1RA,Protein,Peripheral,IPeritoneal,100,mg/kg,Single,90,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Intraluminal filament/suture,Temporary,30,Isoflurane,NeurobehaviouralScore,Motor/sensory,24,46.08294931,16.08068241
Denes 2014c,Rat,Wistar,Male,IL-1RA,Protein,Peripheral,SubCut,100,mg/kg,Single,120,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Ligation,Temporary,60,Isoflurane,NeurobehaviouralScore,Motor/sensory,24,30.98591549,15.24794255
Denes 2014d,Rat,Wistar,Male,IL-1RA,Protein,Peripheral,SubCut,100,mg/kg,Single,120,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Ligation,Temporary,60,Isoflurane,NeurobehaviouralScore,Motor/sensory,24,47.68683274,10.02425122

